GLOBAL.UNIQUE.IDENTIFIER,LAST.EDITED.DATE,TAXONOMIC.ORDER,CATEGORY,TAXON.CONCEPT.ID,COMMON.NAME,SCIENTIFIC.NAME,SUBSPECIES.COMMON.NAME,SUBSPECIES.SCIENTIFIC.NAME,EXOTIC.CODE,OBSERVATION.COUNT,BREEDING.CODE,BREEDING.CATEGORY,BEHAVIOR.CODE,AGE.SEX,COUNTRY,COUNTRY.CODE,STATE,STATE.CODE,COUNTY,COUNTY.CODE,IBA.CODE,BCR.CODE,USFWS.CODE,ATLAS.BLOCK,LOCALITY,LOCALITY.ID,LOCALITY.TYPE,LATITUDE,LONGITUDE,OBSERVATION.DATE,TIME.OBSERVATIONS.STARTED,OBSERVER.ID,SAMPLING.EVENT.IDENTIFIER,PROTOCOL.TYPE,PROTOCOL.CODE,PROJECT.CODE,DURATION.MINUTES,EFFORT.DISTANCE.KM,EFFORT.AREA.HA,NUMBER.OBSERVERS,ALL.SPECIES.REPORTED,GROUP.IDENTIFIER,HAS.MEDIA,APPROVED,REVIEWED,REASON,TRIP.COMMENTS,SPECIES.COMMENTS,X
URN:CornellLabOfOrnithology:EBIRD:OBS303199536,8/27/2020 13:44,18263,species,avibase-AB82799A,Large Cuckooshrike,Coracina macei,NA,NA,NA,X,NA,NA,NA,NA,India,IN,Kerala,IN-KL,Ernakulam,IN-KL-ER,NA,NA,NA,NA,Manikkamangalm chira,L3489092,P,10.1825052,76.4459932,8/8/1999,9:00:00,obsr448981,S22355954,Stationary,P21,EBIRD,30,NA,NA,1,1,NA,0,1,0,NA,NA,NA,NA
URN:CornellLabOfOrnithology:EBIRD:OBS303199530,8/27/2020 13:44,243,species,avibase-BD683E6E,Lesser Whistling-Duck,Dendrocygna javanica,NA,NA,NA,2,NA,NA,NA,NA,India,IN,Kerala,IN-KL,Ernakulam,IN-KL-ER,NA,NA,NA,NA,Manikkamangalm chira,L3489092,P,10.1825052,76.4459932,8/8/1999,9:00:00,obsr448981,S22355954,Stationary,P21,EBIRD,30,NA,NA,1,1,NA,0,1,0,NA,NA,NA,NA
URN:CornellLabOfOrnithology:EBIRD:OBS303199543,8/27/2020 13:44,7148,species,avibase-60EA3FA9,Little Cormorant,Microcarbo niger,NA,NA,NA,X,NA,NA,NA,NA,India,IN,Kerala,IN-KL,Ernakulam,IN-KL-ER,NA,NA,NA,NA,Manikkamangalm chira,L3489092,P,10.1825052,76.4459932,8/8/1999,9:00:00,obsr448981,S22355954,Stationary,P21,EBIRD,30,NA,NA,1,1,NA,0,1,0,NA,NA,NA,NA
URN:CornellLabOfOrnithology:EBIRD:OBS303199541,8/27/2020 13:44,23657,species,avibase-F72A871F,Red-rumped Swallow,Cecropis daurica,NA,NA,NA,X,NA,NA,NA,NA,India,IN,Kerala,IN-KL,Ernakulam,IN-KL-ER,NA,NA,NA,NA,Manikkamangalm chira,L3489092,P,10.1825052,76.4459932,8/8/1999,9:00:00,obsr448981,S22355954,Stationary,P21,EBIRD,30,NA,NA,1,1,NA,0,1,0,NA,NA,NA,NA
URN:CornellLabOfOrnithology:EBIRD:OBS303199532,8/27/2020 13:44,23979,species,avibase-F9E37510,Red-whiskered Bulbul,Pycnonotus jocosus,NA,NA,NA,X,NA,NA,NA,NA,India,IN,Kerala,IN-KL,Ernakulam,IN-KL-ER,NA,NA,NA,NA,Manikkamangalm chira,L3489092,P,10.1825052,76.4459932,8/8/1999,9:00:00,obsr448981,S22355954,Stationary,P21,EBIRD,30,NA,NA,1,1,NA,0,1,0,NA,NA,NA,NA
URN:CornellLabOfOrnithology:EBIRD:OBS303199534,8/27/2020 13:44,5468,species,avibase-F53518E3,White-breasted Waterhen,Amaurornis phoenicurus,NA,NA,NA,2,NA,NA,NA,NA,India,IN,Kerala,IN-KL,Ernakulam,IN-KL-ER,NA,NA,NA,NA,Manikkamangalm chira,L3489092,P,10.1825052,76.4459932,8/8/1999,9:00:00,obsr448981,S22355954,Stationary,P21,EBIRD,30,NA,NA,1,1,NA,0,1,0,NA,NA,NA,NA
URN:CornellLabOfOrnithology:EBIRD:OBS303199539,8/27/2020 13:44,9712,species,avibase-B30B6781,White-throated Kingfisher,Halcyon smyrnensis,NA,NA,NA,X,NA,NA,NA,NA,India,IN,Kerala,IN-KL,Ernakulam,IN-KL-ER,NA,NA,NA,NA,Manikkamangalm chira,L3489092,P,10.1825052,76.4459932,8/8/1999,9:00:00,obsr448981,S22355954,Stationary,P21,EBIRD,30,NA,NA,1,1,NA,0,1,0,NA,NA,NA,NA
URN:CornellLabOfOrnithology:EBIRD:OBS903986092,8/27/2020 14:32,19938,species,avibase-D90F9B0B,Black Drongo,Dicrurus macrocercus,NA,NA,NA,2,NA,NA,NA,NA,India,IN,Kerala,IN-KL,Kasaragod,IN-KL-KS,NA,NA,NA,NA,Puthiya  Kotta,L2514996,H,12.3,75.0833333,8/21/1999,17:30:00,obsr944073,S67884728,Traveling,P22,EBIRD_IND,30,1,NA,1,1,NA,0,1,0,NA,NA,NA,NA
URN:CornellLabOfOrnithology:EBIRD:OBS903986091,8/27/2020 14:32,8086,species,avibase-06D9A2C8,Black Kite,Milvus migrans,NA,NA,NA,7,NA,NA,NA,NA,India,IN,Kerala,IN-KL,Kasaragod,IN-KL-KS,NA,NA,NA,NA,Puthiya  Kotta,L2514996,H,12.3,75.0833333,8/21/1999,17:30:00,obsr944073,S67884728,Traveling,P22,EBIRD_IND,30,1,NA,1,1,NA,0,1,0,NA,NA,NA,NA
URN:CornellLabOfOrnithology:EBIRD:OBS903991270,8/27/2020 14:32,8086,species,avibase-06D9A2C8,Black Kite,Milvus migrans,NA,NA,NA,10,NA,NA,NA,NA,India,IN,Kerala,IN-KL,Kasaragod,IN-KL-KS,NA,NA,NA,NA,Puthiya  Kotta,L2514996,H,12.3,75.0833333,8/28/1999,9:00:00,obsr944073,S67885050,Traveling,P22,EBIRD_IND,60,1,NA,1,1,NA,0,1,0,NA,NA,NA,NA
