Accepted_name,Family,Author,SuccessionalStatus,DispersalMode,Zoochorous.Tadwalkar_etal.,Habit,Comment_successional.status
Memecylon_wightii,Melastomataceae,Thwaites,O,Bird,,Tree,"Undergrowth in wet evergreen forests,"
Memecylon_randerianum,Melastomataceae,S.M.Almeida & M.R.Almeida,O,Bird,,Tree,Common understorey trees in evergreen forests
Mesua_ferrea,Calophyllaceae,L.,O,Gravity,,Tree,
Magnolia_champaca,Magnoliaceae,(L.) Baill. ex Pierre,Unknown,Bird,,Tree,Occasional trees in low and medium elevation evergreen forests
Microtropis_latifolia,Celastraceae,Wight ex M.A.Lawson,O,Unknown,,Tree,Understorey trees in medium elevation evergreen forest
Myristica_dactyloides,Myristicaceae,Gaertn.,O,Mammal_bird,,Tree,
Neolitsea_cassia,Lauraceae,(L.) Kosterm.,O,Bird,,Tree,
Nothopegia_beddomei,Anacardiaceae,Gamble,E,Mammal,,Tree,Understorey tree in low and medium elevations semi-evergreen to evergreen forests and secondary moist deciduous forests
Nothopegia_castaneifolia,Anacardiaceae,(Roth) Ding Hou,O,Mammal,,Tree,
Nothopegia_castaneifolia,Anacardiaceae,(Roth) Ding Hou,O,Mammal,,Tree,
Nothopegia_castaneifolia,Anacardiaceae,(Roth) Ding Hou,O,Mammal,,Tree,
Mappia_nimmoniana,Icacinaceae,(J.Graham) Byng & Stull,O,Bird/Mammal,Z,Tree,
Olea_dioica,Oleaceae,Roxb.,E,Mammal,,Tree,
Pajanelia_longifolia,Bignoniaceae,(Willd.) K.Schum.,E,Unknown,,Tree,Emergent in open wet evergreen forests
Palaquium_ellipticum,Sapotaceae,(Dalzell) Baill.,O,Mammal,,Tree,
Benstonea_thwaitesii,Pandanaceae,(Martelli) Callm. & Buerki,Unknown,Unknown,,Shrub,
Paracroton_pendulus,Euphorbiaceae,(Hassk.) Miq.,O,Gravity,,Tree,
Pavetta_indica,Rubiaceae,L.,E,Bird,,Shrub,Undergrowth in disturbed evergreen to semi-evergreen forests
Machilus_glaucescens,Lauraceae,(Nees) Kosterm.,E,Bird,,Tree,
Piper_nigrum,Piperaceae,L.,Unknown,Bird,,Climber,
Monoon_fragrans,Annonaceae, (Dalzell) B.Xue & R.M.K.Saunders,E,Bird,,Tree,Canopy tree in evergreen to semi-evergreen forests (common in degraded forest)
Psychotria_nigra,Rubiaceae,(Gaertn.) Alston,O,Bird,,Tree,
Psychotria_nilgiriensis,Rubiaceae,Deb & M.G.Gangop.,O,Bird,,Tree,
Psychotria_truncata,Rubiaceae,Wall.,O,Mammal_bird,,Tree,
Psydrax_dicoccos,Rubiaceae,Gaertn.,O,Mammal_bird,,Tree,
Catunaregam_spinosa,Rubiaceae,Tirveng.,Unknown,Bird/Mammal,Z,Tree,
Reinwardtiodendron_anamalaiense,Meliaceae,(Bedd.) Mabb.,O,Bird,,Tree,
Heptapleurum_racemosum,Araliaceae,(Wight) Bedd.,Unknown,Mammal_bird,,Tree,Canopy trees in stunted wet evergreen forests
Scolopia_crenata,Salicaceae,(Wight & Arn.) Clos,O,Mammal_bird,,Tree,
Smilax_zeylanica,Smilacaceae,L.,Unknown,Bird,,Climber,
Spondias_pinnata,Anacardiaceae,(L.fil.) Kurz,Unknown,Mammal,,Tree,Occasional in evergreen to moist deciduous forests.
Sterculia_guttata,Malvaceae,Roxb.,E,Mammal_bird,,Tree,Along margin of evergreen and in semi-evergreen forests
Strobilanthes_speciesB,Acanthaceae,NA,E,Unknown,,Shrub,
Symplocos_cochinchinensis,Symplocaceae,(Lour.) S.Moore,O,Bird,,Tree,
Symplocos_macrophylla,Symplocaceae,Wall.,O,Bird,,Tree,
Symplocos_macrophylla,Symplocaceae,Wall.,O,Bird,,Tree,
Syzygium_caryophyllatum,Myrtaceae,(L.) Alston,O,Mammal_bird,,Tree,
Syzygium_cumini,Myrtaceae,(L.) Skeels,O,Mammal_bird,,Tree,
Syzygium_gardneri,Myrtaceae,Thwaites,O,Mammal_bird,,Tree,
Syzygium_laetum,Myrtaceae,(Ham.) Gandhi,O,Mammal_bird,,Tree,
Syzygium_rubicundum,Myrtaceae,Wight & Arn.,Unknown,Mammal_bird,,Tree,
Unidentified_syzygium,Myrtaceae,NA,Unknown,Mammal_bird,,Tree,
Tabernaemontana_alternifolia,Apocynaceae,L.,E,Bird/Mammal,,Tree,"Along margin of the evergreen forests and common in moist deciduous forest,"
Toona_ciliata,Meliaceae,M.Roem.,O,Wind,,Tree,
Discospermum_sphaerocarpum,Rubiaceae,Dalzell ex Hook.f.,O,Mammal,,Tree,Trees in evergreen forests 
Luvunga_sarmentosa ,Rutaceae,(Blume) Kurz,Unknown,Unknown,,Climber,
Beilschmiedia_wightii,Lauraceae,(Nees) Benth. ex Hook.fil.,O,Bird,,Tree,
Beilschmiedia_wightii,Lauraceae,(Nees) Benth. ex Hook.fil.,O,Bird,,Tree,
Litsea_oleoides,Lauraceae,Gamble,O,Bird,,Tree,
Microtropis_latifolia,Celastraceae,Wight ex M.A.Lawson,O,Unknown,,Tree,
Cryptocarya_anamalayana,Lauraceae,Gamble,O,Bird,,Tree,
Epiprinus_mallotiformis,Euphorbiaceae,(Müll.Arg.) Croizat,O,Unknown,,Tree,Understorey trees in evergreen forest
Microtropis_latifolia,Celastraceae,Wight ex M.A.Lawson,O,Unknown,,Tree,
