id,mean
2387,137.1666667
2388,131.125
2391,NA
2433,722
2434,983.5714286
2435,524.5
2436,344.5555556
2437,259.4444444
2438,229
2439,200.3333333
2440,175.25
2441,158.4444444
2442,152.2222222
2443,143.1111111
2444,136.1111111
2445,129.8333333
2446,128.7777778
2447,131.3333333
2448,NA
2491,569.4444444
2492,386.4375
2493,302.8333333
2494,250.5
2495,227.0833333
2496,207.4166667
2497,181.3125
2498,163.75
2499,154.1666667
2500,144.1666667
2501,136.7777778
2502,130.7
2503,127.5714286
2504,130.4343625
2553,209.6666667
2554,184
2555,165
2556,155.5
2560,NA
527,1685.444444
584,1903.666667
585,1590.916667
586,1600.833333
642,1731.75
643,1433.583333
644,2111.1875
700,1803.083333
701,1529.875
702,1761.75
757,2053.333333
758,983.5833333
759,1533.555556
760,1735.222222
815,1408.9375
816,977
817,1254.666667
869,1648
870,1498.166667
872,1517.4375
873,889.75
874,1674.666667
875,2186.833333
876,1888.583333
877,2020.4375
926,1658
927,1007.666667
928,1402.166667
929,983.625
930,865.4166667
931,1089
932,1461.333333
933,1418.416667
934,1609.5
935,1723.083333
983,1567
984,721.1111111
985,629
986,608.5
987,979.4444444
988,1088.444444
989,1018
990,879.5555556
991,951.5833333
992,1165.777778
993,1346.888889
994,1395.555556
995,1645.222222
1040,966.6666667
1041,619.4166667
1042,811.25
1043,786.875
1044,643.6666667
1045,643.1666667
1046,943.5833333
1047,1038.916667
1048,1089.5625
1049,1305.583333
1050,1409.583333
1051,1595.583333
1052,1748
1053,1757
1097,719.3333333
1098,912.4166667
1099,1321.916667
1100,1188.1875
1101,840.5833333
1102,680.3333333
1103,997.5833333
1104,1350.416667
1105,1435.1875
1106,1232.166667
1107,1409.75
1108,1628.333333
1109,1525.166667
1110,1728.8125
1154,773.5833333
1155,1465.083333
1156,1713.75
1157,1641.0625
1158,922.25
1159,730.9166667
1160,1052.583333
1161,878.8333333
1162,1029.3125
1163,1747.083333
1166,1608.583333
1167,1855.8125
1211,957
1212,1429.111111
1213,1930.666667
1214,1552.5
1215,889.3333333
1216,814.4444444
1217,663.6666667
1218,482.2222222
1219,1052.666667
1220,1790.333333
1221,1780.777778
1222,1302.555556
1223,1171.222222
1224,1655.416667
1268,1081.583333
1269,1302.5
1270,1800.083333
1271,1743.375
1272,1214.75
1273,648.5833333
1274,813.25
1275,867.25
1276,742.625
1277,1531.166667
1278,1207.833333
1279,919.6666667
1280,1216.333333
1281,1680.5
1325,1082.583333
1326,1543.583333
